EQUIPE;ADVERSÁRIO;DATA;RODADA;HORÁRIO;COMPETIÇÃO;RESULTADO;MANDO;MINUTO;AUTOR DO GOL;POSIÇÃO DO AUTOR;EXECUÇÃO DA FINALIZAÇÃO;ZONA DA FINALIZAÇÃO;ASSISTENTE;POSIÇÃO DO ASSISTENTE;ZONA DA ASSISTÊNCIA ;TERÇO DA ASSISTÊNCIA;TIPO DE PASSE/AÇÃO DA ASSISTÊNCIA;ORIGEM DA JOGADA;FORMA DA FINALIZAÇÃO;OBSERVAÇÃO
QFC 2026;POTYGUAR SERIDOENSE;04/02/2026;6;18:30;POTIGUAR ;1x4;casa;32:00:00;Paulinho;CA;CABECEIO;Dentro da área - Centro;Talysson;EXT E;Corredor esquerdo;3 - Último terço;Cruzamento;Ataque posicional;De primeira;
QFC 2026;POTYGUAR SERIDOENSE;04/02/2026;6;18:30;POTIGUAR ;1x4;casa;83:00:00;Diego Costa;CA;PÉ DIREITO;Fora da área - Centro;Beto;MEI;Meio-espaço direito;2 - Segundo terço;Passe em profundidade;Transição ofensiva;De primeira;
QFC 2026;POTYGUAR SERIDOENSE;04/02/2026;6;18:30;POTIGUAR ;1x4;casa;94:00:00;Beto;MEI;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ataque posicional;Pênalti;
QFC 2026;ABC;07/02/2026;7;16:00;POTIGUAR ;1x1;fora;61:00:00;Israel;LD;PÉ DIREITO;Fora da área - Direita;Dieguinho;MEI;Meio-espaço esquerdo;2 - Segundo terço;Passe curto;Ataque posicional;Após domínio;
QFC 2026;SANTA CRUZ DE NATAL;28/02/2026;QUARTAS DE FINAL - IDA;15:30;POTIGUAR ;1x1;fora;48:00:00;Diego Costa;CA;PÉ DIREITO;Dentro da área - Centro;Talysson;EXT E;Corredor esquerdo;2 - Segundo terço;Cruzamento;Ataque posicional;De primeira;
QFC 2026;SANTA CRUZ DE NATAL;04/03/2026;QUARTAS DE FINAL - VOLTA;16:00;POTIGUAR ;2x0;casa;27:00:00;Paulinho;CA;PÉ DIREITO;Dentro da área - Centro;N/A;N/A;N/A;N/A;Rebote;Ataque posicional;De primeira;
QFC 2026;SANTA CRUZ DE NATAL;04/03/2026;QUARTAS DE FINAL - VOLTA;16:00;POTIGUAR ;2x0;casa;90:00:00;Wellington Reis;VOL;PÉ ESQUERDO;Fora da área - Centro;Vitor Potiguar;MC;Corredor direito;3 - Último terço;Passe curto;Ataque posicional;Após domínio;
QFC 2026;ABC;08/03/2026;SIMIFINAL - IDA;16:00;POTIGUAR ;1x3;casa;87:00:00;Vitor Potiguar;MC;CABECEIO;Pequena área - Centro;Adversário;N/A;N/A;N/A;Casquinha;Bola parada;De primeira;
QFC 2026;ABC;14/03/2026;SIMIFINAL - VOLTA;16:00;POTIGUAR ;1x3;fora;52:00:00;Paulinho;CA;PÉ ESQUERDO;Dentro da área - Centro;N/A;N/A;N/A;N/A;Rebote;Ataque posicional;De primeira;
GUARANI DIVINÓPOLIS 2025;IPATINGA;10/05/2025;2;16:00;MÓDULO ll;0x2;fora;61:00:00;Pedrinho;CA;PÉ DIREITO;Pequena área - Centro;Maycon Rangel;CA;Dentro da área - Esquerda;3 - Último terço;Passe curto;Ataque posicional;De primeira;
